start;end;at;attributes;fold;horizon;MAPE_SET;MAPE_MSET;MAPE_SEQ;TOT_EVT;TOT_EVT_OK;NF_SET;NF_MSET;NF_SEQ;STATES_SET;STATES_MSET;STATES_SEQ;NF_PERC_SET;NF_PERC_MSET;NF_PERC_SEQ;error_sd_set;error_sd_mset;error_sd_seq;MAPE_FIT_SET;MAPE_FIT_MSET;MAPE_FIT_SEQ;RMSPE_SET;RMSPE_MSET;RMSPE_SEQ;RMSPE_FIT_SET;RMSPE_FIT_MSET;RMSPE_FIT_SEQ;MAPE_PERC_SET;MAPE_PERC_MSET;MAPE_PERC_SEQ;EXACT_MATCH_SET;EXACT_MATCH_MSET;EXACT_MATCH_SEQ;MAPE_PERC_SET_SJ;MAPE_PERC_MSET_SJ;MAPE_PERC_SEQ_SJ;RMSPE_SET_SJ;RMSPE_MSET_SJ;RMSPE_SEQ_SJ;cut
12/01/2022 04:26;12/01/2022 04:28;pc-lari;incident_state,assignment_group,km_number;T;3;495.994.202.278.027;495.994.202.278.027;469.058.319.765.166;11572;11572;0;0;0;6216;6216;6278;0;0;0;130.408.284.739.528;130.408.284.739.528;129.766.116.266.144;495.994.202.278.027;495.994.202.278.027;469.058.319.765.166;102.974.897.457.509;102.974.897.457.509;9.420.976.664.543;102.974.897.457.509;102.974.897.457.509;9.420.976.664.543;495.994.202.278.027;495.994.202.278.027;469.058.319.765.166;11572;11572;11572;850.900.292.168.062;850.900.292.168.062;797.039.805.457.746;188.267.703.916.806;188.267.703.916.806;168.913.029.658.281;60/40
12/01/2022 04:26;12/01/2022 04:28;pc-lari;incident_state,assignment_group,km_number;V;3;369.152.696.874.884;369.152.696.874.884;368.031.602.869.592;7728;7728;3106;3106;3153;1601;1601;1584;401.915.113.871.636;401.915.113.871.636;407.996.894.409.938;217.813.237.901.059;217.813.237.901.059;217.698.154.924.387;138.390.546.051.693;138.390.546.051.693;13.741.350.630.814;322.815.498.527.008;322.815.498.527.008;322.523.148.103.125;276.428.396.073.359;276.428.396.073.359;277.304.784.452.322;369.152.696.874.884;369.152.696.874.884;368.031.602.869.592;4622;4622;4575;545.561.823.369.798;545.561.823.369.798;543.653.657.819.346;424.401.911.010.972;424.401.911.010.972;424.389.688.285.944;60/40
