start;end;at;attributes;fold;horizon;MAPE_SET;MAPE_MSET;MAPE_SEQ;TOT_EVT;TOT_EVT_OK;NF_SET;NF_MSET;NF_SEQ;STATES_SET;STATES_MSET;STATES_SEQ;NF_PERC_SET;NF_PERC_MSET;NF_PERC_SEQ;error_sd_set;error_sd_mset;error_sd_seq;MAPE_FIT_SET;MAPE_FIT_MSET;MAPE_FIT_SEQ;RMSPE_SET;RMSPE_MSET;RMSPE_SEQ;RMSPE_FIT_SET;RMSPE_FIT_MSET;RMSPE_FIT_SEQ;MAPE_PERC_SET;MAPE_PERC_MSET;MAPE_PERC_SEQ;EXACT_MATCH_SET;EXACT_MATCH_MSET;EXACT_MATCH_SEQ;MAPE_PERC_SET_SJ;MAPE_PERC_MSET_SJ;MAPE_PERC_SEQ_SJ;RMSPE_SET_SJ;RMSPE_MSET_SJ;RMSPE_SEQ_SJ;cut
12/01/2022 05:14;12/01/2022 05:16;pc-lari;incident_state,assignment_group,km_number;T;Inf;495.917.756.278.649;495.917.756.278.649;468.992.947.992.355;11572;11572;0;0;0;6278;6278;6337;0;0;0;130.383.585.607.645;130.383.585.607.645;129.742.703.462.563;495.917.756.278.649;495.917.756.278.649;468.992.947.992.355;102.974.884.074.596;102.974.884.074.596;942.097.572.490.133;102.974.884.074.596;102.974.884.074.596;942.097.572.490.133;495.917.756.278.649;495.917.756.278.649;468.992.947.992.355;11572;11572;11572;850.756.264.478.845;850.756.264.478.845;796.909.071.050.602;188.267.674.714.976;188.267.674.714.976;168.913.008.695.744;60/40
12/01/2022 05:14;12/01/2022 05:16;pc-lari;incident_state,assignment_group,km_number;V;Inf;366.316.393.007.246;366.316.393.007.246;365.370.299.297.282;7728;7728;3167;3167;3209;1572;1572;1558;409.808.488.612.836;409.808.488.612.836;415.243.271.221.532;217.879.383.893.796;217.879.383.893.796;217.782.279.520.134;138.190.357.932.723;138.190.357.932.723;137.177.305.569.577;321.184.168.445.512;321.184.168.445.512;320.999.148.650.035;276.610.069.867.285;276.610.069.867.285;277.449.756.167.448;366.316.393.007.246;366.316.393.007.246;365.370.299.297.282;4561;4561;4519;538.737.788.144.275;538.737.788.144.275;537.632.185.306.334;419.916.149.883.714;419.916.149.883.714;420.135.451.089.925;60/40
