start;end;at;attributes;fold;horizon;MAPE_SET;MAPE_MSET;MAPE_SEQ;TOT_EVT;TOT_EVT_OK;NF_SET;NF_MSET;NF_SEQ;STATES_SET;STATES_MSET;STATES_SEQ;NF_PERC_SET;NF_PERC_MSET;NF_PERC_SEQ;error_sd_set;error_sd_mset;error_sd_seq;MAPE_FIT_SET;MAPE_FIT_MSET;MAPE_FIT_SEQ;RMSPE_SET;RMSPE_MSET;RMSPE_SEQ;RMSPE_FIT_SET;RMSPE_FIT_MSET;RMSPE_FIT_SEQ;MAPE_PERC_SET;MAPE_PERC_MSET;MAPE_PERC_SEQ;EXACT_MATCH_SET;EXACT_MATCH_MSET;EXACT_MATCH_SEQ;MAPE_PERC_SET_SJ;MAPE_PERC_MSET_SJ;MAPE_PERC_SEQ_SJ;RMSPE_SET_SJ;RMSPE_MSET_SJ;RMSPE_SEQ_SJ;cut
12/01/2022 04:11;12/01/2022 04:12;pc-lari;incident_state,assignment_group,km_number;T;1;86.322.446.517.962;86.322.446.517.962;86.322.446.517.962;11572;11572;0;0;0;4860;4860;4860;0;0;0;139.344.223.506.254;139.344.223.506.254;139.344.223.506.254;86.322.446.517.962;86.322.446.517.962;86.322.446.517.962;119.882.830.882.533;119.882.830.882.533;119.882.830.882.533;119.882.830.882.533;119.882.830.882.533;119.882.830.882.533;86.322.446.517.962;86.322.446.517.962;86.322.446.517.962;11572;11572;11572;144.160.829.965.259;144.160.829.965.259;144.160.829.965.259;203.646.823.574;203.646.823.574;203.646.823.574;60/40
12/01/2022 04:11;12/01/2022 04:12;pc-lari;incident_state,assignment_group,km_number;V;1;404.461.475.904.445;404.461.475.904.445;404.461.475.904.445;7728;7728;2070;2070;2070;1760;1760;1760;267.857.142.857.143;267.857.142.857.143;267.857.142.857.143;2.166.187.066.944;2.166.187.066.944;2.166.187.066.944;219.717.471.916.615;219.717.471.916.615;219.717.471.916.615;36.301.050.139.917;36.301.050.139.917;36.301.050.139.917;327.014.400.382.946;327.014.400.382.946;327.014.400.382.946;404.461.475.904.445;404.461.475.904.445;404.461.475.904.445;5658;5658;5658;605.810.600.068.957;605.810.600.068.957;605.810.600.068.957;527.357.484.621.777;527.357.484.621.777;527.357.484.621.777;60/40
